number,title,state,created_at,closed_at,comments,author_association,pull_request,duration_days,is_merged,month_year
63384,Replacing some of @Appender in pandas/pandas/core/frame.py.,closed,2025-12-16 15:42:59+00:00,2025-12-19 18:11:12+00:00,2,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63384', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63384', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63384.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63384.patch', 'merged_at': '2025-12-19T18:11:12Z'}",3,1,2025-12
63383,DOC: Update type of name argument in bdate_range to Hashable,closed,2025-12-16 15:32:52+00:00,2025-12-16 19:16:03+00:00,4,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63383', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63383', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63383.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63383.patch', 'merged_at': '2025-12-16T19:16:03Z'}",0,1,2025-12
63382,DOC: Fix default value for engine in pandas.eval,closed,2025-12-16 14:08:31+00:00,2025-12-22 13:08:26+00:00,2,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63382', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63382', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63382.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63382.patch', 'merged_at': '2025-12-22T13:08:26Z'}",5,1,2025-12
63381,DOC: Fix duplicates parameter docstring in pandas.cut,closed,2025-12-16 13:24:17+00:00,2025-12-16 14:58:26+00:00,0,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63381', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63381', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63381.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63381.patch', 'merged_at': '2025-12-16T14:58:26Z'}",0,1,2025-12
63380,DOC: update whatsnew section for pd.col(),closed,2025-12-16 12:06:43+00:00,2025-12-16 17:44:08+00:00,2,MEMBER,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63380', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63380', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63380.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63380.patch', 'merged_at': '2025-12-16T17:44:08Z'}",0,1,2025-12
63379,DOC: some small edits to 3.0 release notes,closed,2025-12-16 10:44:28+00:00,2025-12-16 17:41:22+00:00,1,MEMBER,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63379', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63379', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63379.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63379.patch', 'merged_at': '2025-12-16T17:41:22Z'}",0,1,2025-12
63370,BUG: copy np.ndarray inputs to Index constructor by default,closed,2025-12-15 19:10:36+00:00,2025-12-16 21:10:53+00:00,2,MEMBER,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63370', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63370', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63370.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63370.patch', 'merged_at': '2025-12-16T21:10:53Z'}",1,1,2025-12
63367,EA: add back _from_scalar / cast_pointwise_result backwards compat,closed,2025-12-15 10:56:29+00:00,2025-12-19 15:54:48+00:00,5,MEMBER,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63367', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63367', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63367.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63367.patch', 'merged_at': '2025-12-19T15:54:48Z'}",4,1,2025-12
63366,Bump actions/upload-artifact from 5 to 6,closed,2025-12-15 08:04:10+00:00,2025-12-15 17:29:05+00:00,0,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63366', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63366', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63366.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63366.patch', 'merged_at': '2025-12-15T17:29:05Z'}",0,1,2025-12
63365,Bump actions/download-artifact from 6 to 7,closed,2025-12-15 08:04:06+00:00,2025-12-15 17:28:32+00:00,0,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63365', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63365', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63365.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63365.patch', 'merged_at': '2025-12-15T17:28:32Z'}",0,1,2025-12
